id,latitude,longitude,part_nmbr,serial_nmbr,information,information2,dimension,weight,origin,mobileapp_version_number,gps_precision,gps_age,gps_altitude,organizations_id,users_id,created,modified,modified_merged,crud,deleted,modified_timezone,object_categories_id,object_types_id,object_events_id,object_statuses_id,Detected
412404626,56.308484437895,10.627178557358,,,,,,,MobileApp,6.1.6229,0,1591133044639,0,241136,630302026,2020-04-14T14:57:33,2020-06-02T21:29:56,2020-06-02T21:24:04,U,,2020-06-02T21:24:04,100533,301434,500772,701063,42069
412404627,56.309307138357,10.628207395262,,,,,,,MobileApp,6.1.6229,0,1591615764784,0,241136,630302021,2020-04-14T14:57:33,2020-06-08T11:30:28,2020-06-08T11:29:24,U,,2020-06-08T11:29:24,100533,301434,500772,701063,42069
412404628,56.309250859445,10.628123960866,,,,,,,MobileApp,6.1.6229,0,1591615759236,0,241136,630302021,2020-04-14T14:57:34,2020-06-08T11:30:28,2020-06-08T11:29:19,U,,2020-06-08T11:29:19,100533,301434,500772,701063,42069
412404629,56.309114242548,10.627917637737,,,,,,,MobileApp,6.1.6229,0,1591615752098,0,241136,630302021,2020-04-14T14:57:34,2020-06-08T11:30:28,2020-06-08T11:29:12,U,,2020-06-08T11:29:12,100533,301434,500772,701063,42069
412404630,56.308968894811,10.627722300345,,,,,,,MobileApp,6.1.6229,0,1591616736931,0,241136,630302021,2020-04-14T14:57:34,2020-06-08T11:49:54,2020-06-08T11:45:36,U,,2020-06-08T11:45:36,100533,301434,500772,701063,42069
412404631,56.308807485716,10.627600348704,,,,,,,MobileApp,6.1.6229,0,1591615734546,0,241136,630302021,2020-04-14T14:57:34,2020-06-08T11:30:28,2020-06-08T11:28:54,U,,2020-06-08T11:28:54,100533,301434,500772,701063,42069
412404632,56.308611243822,10.627533271725,,,,,,,MobileApp,6.1.6229,0,1591615718340,0,241136,630302021,2020-04-14T14:57:34,2020-06-08T11:30:28,2020-06-08T11:28:38,U,,2020-06-08T11:28:38,100533,301434,500772,701063,42069
412404633,56.308523577207,10.627506911011,,,,,,,MobileApp,6.1.6229,0,1591615711831,0,241136,630302021,2020-04-14T14:57:34,2020-06-08T11:30:28,2020-06-08T11:28:31,U,,2020-06-08T11:28:31,100533,301434,500772,701063,42069
412404634,56.308453620674,10.62748052054,,,,,,,MobileApp,6.1.6229,0,1591615705540,0,241136,630302021,2020-04-14T14:57:34,2020-06-08T11:30:28,2020-06-08T11:28:25,U,,2020-06-08T11:28:25,100533,301434,500772,701063,42069
412404637,56.309844717151,10.626946822337,,,,,,,MobileApp,6.1.6373,0,1586894278906,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:57:58,U,,2020-04-14T19:57:58,100533,301432,500772,701063,42069
